2025-07-29 04:37:44.004 355 Loaded 0 items
2025-07-29 04:41:06.672 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:41:06.672 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:41:06.673 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:41:06.673 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:41:06.689 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:41:06.749 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:41:06.749 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:41:06.755 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:41:06.796 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:41:06.796 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:41:06.800 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:41:06.846 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:41:06.846 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:22.707 309 Loaded 0 items
2025-07-29 04:43:22.708 309 Sync manager initialized: redroid/redroid_x86_64/redroid_x86_64:11/RD2A.211001.002/eng.frank.20240527.144006:userdebug/test-keys
2025-07-29 04:43:22.755 309 onStartUser: user=0
2025-07-29 04:43:22.790 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:22.792 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:22.792 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:22.792 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:22.796 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:22.823 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:22.844 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:22.903 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:22.920 309 rescheduleSyncs() ep=ALL ACCS/ALL PDRS:u-1 why=network reconnect
2025-07-29 04:43:22.920 309 Loaded persisted syncs: 0 periodic syncs, 0 oneshot syncs, 13 total system server jobs, JobStats: FirstLoad: 4/4/0 LastSave: -1/-1/-1
2025-07-29 04:43:23.010 309 onUnlockUser: user=0
2025-07-29 04:43:23.026 309 updateRunningAccountsH: []
2025-07-29 04:43:23.026 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:23.063 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:23.092 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:23.092 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:24.107 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:24.107 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:24.108 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:24.108 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:24.109 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:24.109 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:24.125 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:24.200 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:24.200 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:24.204 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:24.250 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:43:24.250 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:50:43.453 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:50:48.574 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:50:48.574 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:50:55.770 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:50:55.775 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:50:55.775 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:50:57.715 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:50:57.766 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:50:57.766 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:50:57.766 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:50:57.786 309 scheduleSync: no accounts configured, dropping
2025-07-29 04:51:00.001 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:43.337 305 Loaded 0 items
2025-07-29 06:05:43.338 305 Sync manager initialized: redroid/redroid_x86_64/redroid_x86_64:11/RD2A.211001.002/eng.frank.20240527.144006:userdebug/test-keys
2025-07-29 06:05:43.384 305 onStartUser: user=0
2025-07-29 06:05:43.420 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:43.423 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:43.423 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:43.425 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:43.425 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:43.430 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:43.458 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:43.493 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:43.551 305 rescheduleSyncs() ep=ALL ACCS/ALL PDRS:u-1 why=network reconnect
2025-07-29 06:05:43.551 305 Loaded persisted syncs: 0 periodic syncs, 0 oneshot syncs, 13 total system server jobs, JobStats: FirstLoad: 4/4/0 LastSave: -1/-1/-1
2025-07-29 06:05:43.565 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:43.670 305 onUnlockUser: user=0
2025-07-29 06:05:43.698 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:43.701 305 updateRunningAccountsH: []
2025-07-29 06:05:43.701 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:43.770 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:43.770 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:44.710 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:44.710 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:44.742 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:44.742 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:44.760 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:44.818 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:44.818 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:44.838 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:44.882 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:05:44.882 305 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:55.216 309 Loaded 0 items
2025-07-29 06:08:55.217 309 Sync manager initialized: redroid/redroid_x86_64/redroid_x86_64:11/RD2A.211001.002/eng.frank.20240527.144006:userdebug/test-keys
2025-07-29 06:08:55.259 309 onStartUser: user=0
2025-07-29 06:08:55.299 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:55.299 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:55.302 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:55.302 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:55.304 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:55.331 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:55.359 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:55.425 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:55.433 309 rescheduleSyncs() ep=ALL ACCS/ALL PDRS:u-1 why=network reconnect
